contaminant_level,ph_level,turbidity,dissolved_oxygen,nitrate_level,lead_concentration,bacteria_count,access_to_clean_water,diarrheal_cases,cholera_cases,typhoid_cases,infant_mortality_rate,gdp,healthcare_access,urbanization_rate,sanitation_coverage,rainfall_per_year,temperature,population_density,abdominal_pain,nausea_vomiting,weakness_loss_of_appetite,fever,"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people",water_source_Pond,water_source_River,water_source_Spring,water_source_Tap,water_source_Well
6.06,7.12,3.93,4.28,8.28,7.89,3344,33.6,25.344444623629748,56.9485166020263,43.48501878204296,76.16,57057,96.92,84.61,63.23,2800,4.94,593,6,4,4,5,76.16252240777719,21.45893410345855,212.98081837815548,0,0,0,0,0
5.24,7.84,4.79,3.86,15.74,14.68,2122,89.54,35.575469515868456,32.3905167377581,31.820636015643146,77.3,17220,84.73,73.37,29.12,1572,16.93,234,3,4,8,0,58.68272701775357,12.220810202924568,103.10696713174586,0,0,0,0,1
0.24,6.43,0.79,3.42,36.67,9.96,2330,35.29,33.65114150574566,79.35294760391989,6.714107022582023,48.45,86022,58.37,72.86,93.56,2074,21.73,57,10,3,6,8,112.08969769108336,27.80692701777006,370.5764919299234,1,0,0,0,0
7.91,6.71,1.96,3.12,36.92,6.77,3779,57.53,27.40849487926589,100.1800039858816,0.0,95.66,31166,39.07,71.07,94.25,937,3.79,555,7,3,6,4,84.84295502048593,20.72657305554358,205.23701893509758,0,0,0,0,1
0.12,8.16,4.22,9.15,49.35,12.51,4182,36.6,47.996592776405,87.16279761600005,15.595796284937908,58.78,25661,23.03,55.55,69.23,2295,31.44,414,4,0,5,6,46.29183003422601,18.91146522475381,117.56875276824944,0,0,0,0,1
2.93,8.21,4.03,8.66,31.35,16.74,880,69.48,34.607054657052196,3.0354004344306347,18.00859872046503,70.13,84334,53.45,86.11,51.11,2530,8.01,775,6,6,1,8,87.89763172762613,21.595428880386315,311.1805643417689,0,0,0,1,0
0.06,6.11,3.12,6.97,44.98,1.23,2977,55.43,42.50858327449705,65.72970656469151,20.616421394551367,92.59,6726,34.56,76.53,68.6,1573,22.42,584,9,8,8,8,138.0333156380153,33.2000345212867,529.0229514666058,0,1,0,0,0
3.76,6.42,1.35,9.99,2.73,19.44,1172,44.17,28.703661355658724,35.60770257522284,6.752864432660685,67.3,76593,7.27,45.22,70.22,940,19.64,111,2,2,5,0,38.54339495391835,12.51930027157955,50.664288005111516,0,0,1,0,0
0.63,6.29,1.42,9.67,28.31,1.93,159,71.66,26.012531500973914,11.020015096183988,15.917511936383356,44.32,5470,47.62,69.4,69.77,2150,36.23,538,6,1,7,0,63.795613743321084,7.057996561600178,68.42482324300867,0,0,0,0,1
9.14,6.45,0.62,7.59,45.99,10.23,2493,55.44,63.837285301130734,46.787247257442466,18.986189529030653,4.43,72858,57.11,89.85,78.67,2083,35.73,250,10,2,0,2,82.03750783457367,4.8881729958902795,132.09146371851938,0,0,0,0,1
4.16,8.43,4.61,6.25,14.36,11.2,2129,41.68,20.28557915100563,46.24812349908268,53.13306426476964,73.37,51303,61.13,79.68,25.37,1144,9.54,299,10,0,4,5,81.67388855483037,13.499493196159312,194.81791939088407,0,0,0,0,1
4.59,7.38,0.86,4.07,7.74,2.76,3078,79.01,12.911489756685299,71.8187781146994,43.1074796940016,96.56,50972,7.38,10.1,28.2,1927,21.54,265,7,5,0,1,83.1743902961971,4.527596155466866,112.07460004900814,0,1,0,0,0
3.5,7.17,2.86,6.61,17.53,18.31,2229,88.58,19.859595727851477,43.50407494858408,46.55944610603484,48.08,35058,48.31,69.03,42.62,1535,39.42,956,4,10,9,9,113.44979877564714,34.934283994835816,489.4318419296039,1,0,0,0,0
6.28,8.46,2.92,4.1,39.61,9.43,2917,49.16,50.933108342742834,63.673351963761526,48.28359709682145,35.3,68917,65.59,81.83,47.98,2829,13.27,370,3,10,10,10,107.13442759120663,39.49016556126682,502.816798651804,0,0,0,0,0
7.84,7.39,1.85,5.79,4.24,2.86,3013,43.05,0.0,70.3903052959937,24.80767644706532,52.89,50606,96.11,36.22,71.04,1184,2.95,76,7,6,7,0,97.39194577570807,11.75170532262895,168.6404500125191,0,0,0,1,0
6.48,7.65,1.76,9.6,30.02,14.23,1549,35.27,23.442051824638785,16.690893622956985,27.457954444857744,73.39,6043,2.5,88.2,33.75,1756,28.72,289,7,10,7,0,127.67821704665735,15.810734906271355,240.55212816477032,0,1,0,0,0
7.48,6.83,3.34,5.39,6.78,13.27,4573,66.95,29.156764854639924,87.06384947023558,20.86026639722618,2.07,7630,67.63,42.1,63.28,2051,20.13,415,2,10,0,4,76.39489000682521,15.147788340366992,169.4917082329074,1,0,0,0,0
9.06,6.96,1.94,4.07,21.78,19.26,3385,88.19,34.806630200775885,48.84116112769712,38.01913755122025,88.95,51718,6.23,43.69,34.83,2136,37.59,787,5,1,8,3,60.98296437596008,17.75453042513556,115.83559069673717,0,0,0,0,1
8.64,7.49,1.28,7.08,48.3,8.83,1579,47.56,51.01647123587886,18.841185565014367,18.700495284803242,88.86,14634,15.88,22.87,48.44,432,23.01,14,4,7,1,0,70.15293622388566,7.861244411457088,84.86819001655269,1,0,0,0,0
6.74,6.17,2.0,7.22,9.76,5.36,3371,62.24,0.0,69.4715578971138,22.88393997200979,55.05,80375,17.33,17.73,94.84,944,20.46,552,1,5,8,3,58.2902766634561,22.587913616018238,150.68373854955928,0,1,0,0,0
2.15,6.64,4.04,4.36,1.7,1.2,1960,41.26,0.0,44.95699538177841,11.898145333038668,13.99,31686,32.89,52.93,91.66,984,36.59,161,7,3,0,2,70.61039757210906,9.568138037913666,111.27784676288378,0,1,0,0,0
